Location,Date,Irr/Storm,Station,Dup,event,ID,op,no2,no3,tkn,tp,selenium (mg/L),TSS,E COLI,fecal,tss,Flow,OP,NO3,NH4,TKN,TP,E COLI.1,fecal.1,notes
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-LC,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-LC,NA,NA,8.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-LC,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-LC,0.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-LC,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-ISC,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-ISC,NA,NA,8.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-ISC,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-ISC,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-ISC,NA,NA,NA,NA,0.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-ISC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-GB,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
